#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
0         	4         	ok              	1.0000000000e+00	1.4692000000e+03	9.0617984362e+18	4.9298687528e+18	2.3680862158e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	4         	ok              	8.6830000000e-01	1.4569000000e+03	7.9347835136e+18	4.3167444038e+18	2.3680846186e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	4         	ok              	7.5390000000e-01	1.4448000000e+03	6.9470557123e+18	3.7793950270e+18	2.3680832381e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	4         	ok              	6.5450000000e-01	1.4310000000e+03	6.0892623565e+18	3.3127319328e+18	2.3680826796e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	4         	ok              	5.6830000000e-01	1.4168000000e+03	5.3402762130e+18	2.9052625426e+18	2.3680823722e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	4         	ok              	4.9340000000e-01	1.4018000000e+03	4.6860584517e+18	2.5493494285e+18	2.3680823689e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	4         	ok              	4.2840000000e-01	1.3862000000e+03	4.1145108690e+18	2.2384110682e+18	2.3680825558e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	4         	ok              	3.7200000000e-01	1.3700000000e+03	3.6150730776e+18	1.9667024086e+18	2.3680828932e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	4         	ok              	3.2300000000e-01	1.3540000000e+03	3.1759862581e+18	1.7278265173e+18	2.3680831578e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	4         	ok              	2.8040000000e-01	1.3372000000e+03	2.7917496847e+18	1.5187906621e+18	2.3680835817e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	4         	ok              	2.4350000000e-01	1.3204000000e+03	2.4552083825e+18	1.3357024631e+18	2.3680839846e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
